item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q57986438,ABDALLAH PENE MBAKA Jefferson,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q57986438-E86EA573-AE14-4488-BF21-24DF0C41A555
Q107994857,ADIRODU DJARI Wilson,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q107994857-13674BA8-6F7D-4DC6-AD03-286A43F72E75
Q112262714,ADIRODU MAWAZO Baudoin,,,,,2012-02-16,2019-01-28,male,Q112262714-89128F49-2CD5-4208-BFC4-C8E743FA7583
Q112262715,AKPANZA MOBULI NICOLAS,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112262715-75893D09-FBB4-414F-AD5C-A3B79DE7E222
Q112262771,ALI BIN OMARI SIMUKINJE,,,,,2012-02-16,2019-01-28,male,Q112262771-62A10FA8-94E9-43B5-834F-64C4E6241AE6
Q112262772,ALONGA LIKITI Toussaint,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q112262772-6A36DEE2-EE7E-406D-8A0D-88A41B8DA8C9
Q108106499,AMBATOBE NYONGOLO Amy,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q108106499-1427FFFE-8FE0-4D08-BCFA-A4DEC765A919
Q112262773,AMBENA ZAINGALI Maurice,,,,,2012-02-16,2019-01-28,male,Q112262773-4ED9C754-1519-411F-B303-7F032146D283
Q112262774,AMURI KABEZA MWENEBANTU,,,,,2012-02-16,2019-01-28,male,Q112262774-51A5FF9C-5B5C-4044-84BF-14A0540B29CD
Q112262775,APAKA TOMBILA Fredric,,,,,2012-02-16,2019-01-28,male,Q112262775-2CC2AC0C-2799-4F79-BD6A-BA6D622E26D8
Q112262776,APALATA AMBO Bienvenu,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262776-CD852715-3E3E-426A-B2D0-A02F0873CB74
Q96475185,ASOBE IBAMBI Judith,,,,,2012-02-16,2019-01-28,female,Q96475185-1C0D2BA7-A115-4D61-86A7-401EFFCB0664
Q112262777,ASUMAN' LIKALANGANYO Jacques,,,,,2012-02-16,2019-01-28,male,Q112262777-E106AD1C-DAB7-4178-8A5A-1466800DF89C
Q112262778,ATONZIA BAKOMOTO Joseph,,,,,2012-02-16,2019-01-28,male,Q112262778-3FDD5A76-BADB-42DF-89DB-F207530D5B41
Q112262779,AUNDAGBA PANGODI Freddy,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112262779-A659752E-DC3F-4012-902D-AB2EFC49402F
Q3332426,AUTSAI ASENGA Mdard,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q3332426-77DAE0D0-01BC-4224-B033-7BEEBB73403F
