id,itemLabel,partyLabel,areaLabel,gender
1,ABOTOME BAKABISYA Roger,ALLIANCE,WATSA,male
2,ADIRODU DJARI Wilson,MS,IRUMU,male
3,ADUBANGO ALI Emmanuel,AAB,MAHAGI,male
4,ADUBANGO AWOTHO Samuel,AA/a,MAHAGI,male
5,AFOOTE AFOTUKU Anatole,PPRD,DJOLU,male
6,AGIGBA WIDIA Mamie,G18,GEMENA,female
7,AGOYO WAYIKO Eugénie,CPR,ARU,female
8,AHONO NZOBO Papy,CPR,BOLOMBA,male
9,ALFANI MACHOZI Marie-Claire,AFDC-A,WALIKALE,female
10,AMATO BAYUBASIRE MIRINDI AMATO,UNC,WALUNGU,male
11,AMBATOBE NYONGOLO Amy,MIP,FIZI,male
12,AMINATA NAMASIA BAZEGO,PCD,BAMBESA,female
13,AMISI LUPIA Patrick,ATIC,KAILO,male
14,ANOKONZI MASIKINI Jean-Pierre,MS,FARADJE,male
15,ASANI KABINA ALU,AFDC-A,BANALIA,male
16,ASSINA BINDIMONO Rufine,UNC,PUNIA,female
17,ATAMA TABE MOGODI Crispin,PPPD,FARADJE,male
18,ATUYAKILA KIMBAKU Emmanuel,CPR,FESHI,male
19,AUSSE AFINGOTO Jackson,AAB,IRUMU,male
20,AUTSAI ADRIKO Patrice,PPRD,ARU,male
21,AYOBANGIRA SAFARI NSHUTI Jean-Pierre,PPPD,MASISI,male
22,BABANGA MPOTIYOLO Anicet,CPR,INONGO VILLE,male
23,BABANGU WABABU Paul,AABC,IRUMU,male
24,BAHATI CHUMA Héritier,AAB,DJUGU,male
25,BAITSURA MUSOWA Chandrack,AAB,BENI,male
26,BALAMAGE N’KOLO Boniface,ECT,IDJWI,male
27,BALEKELAYI BEYA Donatien,AABC,KAZUMBA,male
28,BALENZA DI BALENZA Paul,AABC,FUNA,male
29,BALIESIMA KADUKIMA Albert,ADRP,BENI,male
30,BANDENONGA AKUKPA Fabrice,AA/a,DJUGU,male
31,BANIO DEBHO Daniel,AAB,ARU,male
