item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q105713042,Gilbert Tshiongo Tshibinkubula Wa Tumba,Q112220996,Énergie,2010-02-19,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q105713042-E2B339A4-2755-450B-A1C0-B8A78DE496FC
Q105946534,Jean-Pierre Bokole Ompoka,Q112221044,Recherche scientifique,2010-02-19,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q105946534-E5C6B957-5E01-44FD-96F6-3135E17F1197
Q106153035,Gervais Ntirumenyerwa Kimonyo,Q112254053,"Vice-ministre, Travaux publics",2011-09-11,2012-03-06,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q106153035-19B0DD09-E9E5-4D42-B695-D5D27E00FED7
Q106913695,Jean-Pierre Daruwezi Mokombe,Q112220992,Économie nationale,2011-09-11,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q106913695-3100CA58-7FA9-4702-BAF9-514CB7A78825
Q107187435,Arthur Sedea Ngamo Zabusu,Q112253713,"Vice-ministre, Enseignement primaire, secondaire et professionnel",2011-09-11,2012-03-06,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107187435-7936FF5E-01FC-4FEB-BDF7-454F034664FE
Q107474907,Céline Leteta Kumisa,Q112223956,"Vice-ministre, Justice et des Droits humains",2011-09-11,2012-03-06,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107474907-31D93E0A-966A-4111-B81E-E70367A5F306
Q107474935,Georges Zuka Mun'do Ngonda Lemba,Q112223972,"Vice-ministre, Intérieur",2011-09-11,2012-03-06,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107474935-3338C872-332A-4B0F-BE38-4E06B5D4AF80
Q107474977,Joas Mbitso Ngedza,Q112223978,"Vice-ministre, Finances",2011-09-11,2012-03-06,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107474977-BED42F7D-015A-4973-93B4-7D4863C2B90C
Q107475161,César Lubamba Ngimbi,Q112221052,Urbanisme et Habitat,2010-02-19,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107475161-C0E59872-AD79-4D08-8BE0-8539E6C7975C
Q107475186,Joseph Martin Kitumba Gagedi Gasagisa Mwanza,Q112221051,Transports et Voies de communication,2011-09-11,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107475186-07C2F48D-8BD8-47AF-AB7C-40F1A27B253A
Q107694205,Dieudonné Upira Sunguma Kagimbi,Q112220980,Fonction publique,2010-02-19,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107694205-FB9561C2-5AD3-48E9-A613-AA841D388876
Q107694336,Anicet Kuzunda Mutangiji,Q112221009,Industrie,2010-02-19,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q107694336-89904C64-B6B6-49E5-B988-13A94F81D345
Q108146627,Charles Alulea Mengulwa,Q112221043,Développement rural,2011-09-11,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q108146627-5F505D4A-B309-454C-94FD-1599D9BB61D2
Q109045596,Musa Kalema,Q112251767,"Vice-ministre, Emploi et Prévoyance Sociale",2011-09-11,2012-03-06,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q109045596-C8A39D46-2CAA-4938-BAA5-85FF6214D17F
Q112222021,Raymond Tshibanda N’tunga Mulongo,Q112221014,Minister of International Cooperation,2008-10-26,2012-04-28,,,Q112222021-7ABDBECA-DFE5-41C2-9A9E-D83012EC6C27
Q16195146,Jeannette Kavira Mapera,Q54100574,Culture et Arts,2010-02-19,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q16195146-019BD74E-CEC3-4062-801F-B73AB71F2C05
Q178793,Lambert Mende Omalanga,Q112220985,Communication et Médias,2008-10-26,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q178793-DC2DDC49-D59B-4B0C-AC7B-037BDF69485C
Q2824869,Adolphe Lumanu,Q112221013,"Vice-premier ministre, ministre de l'Intérieur, de la Sécurité, Décentralisation et Aménagement du Territoire",2011-09-11,2012-04-28,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q2824869-4337C97E-3308-4B3F-B239-786B72B9EB01
Q2834659,Alexis Thambwe Mwamba,Q6866142,Affaires étrangères,2008-10,2012-04,https://fr.wikipedia.org/wiki/Gouvernement_Muzito_III,2022-06-06,Q2834659-ef98b58c-44d8-a432-acc3-e265a8068061
Q2959880,Charles Mwando Simba,Q17110451,Minister of Defence,2008-10-26,2012-04-28,,,Q2959880-EEA1875B-9FD9-451B-861D-679974D3D163
