item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q104416504,Maguy Rwakabuba,Q112253713,"Vice-ministre, Enseignement primaire, secondaire et professionnel",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q104416504-8DEFBDBF-8AB8-427F-B48C-FBC2956A7BE7
Q104889315,Wivine Mumba Matipa,Q112221015,Justice et Droits humains,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q104889315-F1E7F18F-590A-415D-B5A4-3161A97D8094
Q105412562,Sakina Binti,Q112253723,"Vice-ministre, Droits humains",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q105412562-6AB196F0-1BA8-4CE7-9168-9D7DAEAC1D16
Q107126535,Bruno Kapanji Kalala,Q112221054,Ressources hydrauliques et Électricité,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q107126535-4659270C-90E5-4F5F-8AFF-FE52CCDB1B81
Q107126837,Jean Chrisostome Vahamwiti Mukesyayira,Q54429353,Agriculture et Développement Rural,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q107126837-FBB43F67-DA60-43B4-85E1-55A9883CBE14
Q107128113,Robert Mbwinga Bila,Q112221018,Affaires Foncières,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q107128113-D9AC3BEF-BDF7-482C-B61C-6204DCE6F720
Q107141721,Patrice Kitebi Kibol Mvul,Q97366094,"Délégué auprès du Premier Ministre, chargé des Finances",2012-04,2014-12,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q107141721-33CC5E69-1BA0-42E9-894E-D18466D31CD6
Q112221930,Bavon N’sa Mputu Elima,Q112220998,"Environnement, Conservation de la nature et tourisme",2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112221930-18585E70-D452-46AA-911A-3E5A2A4AE7BF
Q112221937,Charles Nawej Mundele,Q108730998,"Affaires Sociales, Action Humanitaire et Solidarité Nationale",2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112221937-114B3ED5-8AFB-4830-9889-7FBC3BF92A15
Q112221938,Chelo Lotsima,Q112221003,"Enseignement Supérieur, Universitaire et Recherche Scientifique",2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112221938-3102D34F-E440-459E-83B7-5B31B190C302
Q112253644,Abayuwe Liska,Q112223987,"Vice-ministre, Budget",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112253644-097C1879-35C4-4FFD-A763-794FB58EA11D
Q112253706,Dismas Magbengu Swana Emin,Q112225267,"Vice-ministre, Coopération internationale et régionale",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112253706-C6C133B6-2379-4617-82A1-6C4233E5B79E
Q112253716,Roger Shulungu Runika,Q112223978,"Vice-ministre, Finances",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112253716-F6CA12B2-E1C9-4225-8F21-7191943C5B98
Q112253718,Sadock Biganza,Q112223992,"Vice-ministre, Plan",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112253718-2030B177-A091-4EF5-8E09-5A214F241213
Q112253731,Égide Ngokoso,Q112252547,"Vice-ministre, Décentralisation et des Affaires coutumières",2012-03-06,2014-12-07,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q112253731-9C99C388-B7D2-464D-9243-FDE8F8314E02
Q129404,Alexandre Luba Ntambo,Q17110451,Défense Nationale et Anciens Combattants,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q129404-710416FB-3253-41ED-ADF2-B5FED6FAF3C8
Q130512,Daniel Mukoko Samba,Q112220973,Budget,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q130512-CCA6A5D5-BE6E-4629-A40E-BA36588D3257
Q16545541,Célestin Vunabandi Kanyamihigo,Q112221028,Plan et Suivi de la Mise en œuvre de la révolution de la modernité,2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q16545541-267FFB2F-4DCA-495C-93BC-D7EDCDF4A0BF
Q178793,Lambert Mende Omalanga,Q112221019,"Médias, chargé des Relations avec le Parlement et de l’Initiation à la nouvelle citoyenneté",2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q178793-46BEF82F-7D47-4A88-B2F4-29206AFED570
Q19543886,Modeste Bahati Lukwebo,Q112220994,"Emploi, Travail et Prévoyance Sociale",2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q19543886-D5CB0E10-0CDD-4AAB-809C-DCDC467BE339
Q19544597,Félix Kabange Numbi Mukwampa,Q112039008,Santé Publique,2012-04-28,2016-12-19,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q19544597-e1dbf38f-4c08-9a46-816d-58611d1a9b34
Q19629172,Tryphon Kin-Kiey Mulumba,Q112221031,"Postes, Télécommunications et Nouvelles Technologies de l’Information et de la Communication",2012-04-28,2014-12-09,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q19629172-1D28EDE7-DFB8-4FDE-BEB5-14B02DA2BFDA
Q19631195,Jean-Claude Kibala,Q112220980,Fonction Publique,2012-04-28,2015-09-25,https://fr.wikipedia.org/wiki/Gouvernement_Matata_I,2022-06-06,Q19631195-E211A1C8-FAA2-446B-967E-5C1BBD1BF47E
