item,itemLabel,startDate,endDate,sourceDate,psid
Q3301954,Mawampanga Mwana Nanga,1999-03,2000-11,2022-06-02,Q3301954-24CF3D44-021B-459C-AE8E-0468A9128C89
Q3087043,Freddy Matungulu,2001-04,2003-02,2022-06-02,Q3087043-9B4F6578-D386-432B-8F3D-9D420296A5CA
Q3271517,Léonard Luongwe,2003-02,2003-06,2022-06-02,Q3271517-058ACF65-F6E3-4E68-8FD4-B19A7E0CAFB8
Q3317906,Modeste Mutombo Kyamakosa,2003-06,2003-09,2022-06-02,Q3317906-AD589114-5BC7-4BFF-AA55-BCF8CA5EC0F4
Q516526,André-Philippe Futa,2003-09,2005-11,2022-06-02,Q516526-FB0C39EC-067C-46E1-ADE2-C95B39BF8D07
Q3290052,Marco Banguli,2005-11,2007-02,2022-06-02,Q3290052-CBBB5F80-9508-43DE-99F4-28BC4F0DBBF8
Q2868988,Athanase Matenda Kyelu,2007-02,2010-02,2022-06-02,Q2868988-87849BA7-ACDA-4407-A13D-64B43161135D
Q57883,Augustin Matata Ponyo,2010-02,2012-04,2022-06-02,Q57883-E277B99E-6896-4182-8FBE-C12601E9664B
Q107141721,Patrice Kitebi,2012-04,2014-12,2022-06-02,Q107141721-33CC5E69-1BA0-42E9-894E-D18466D31CD6
Q19631192,Henri Yav Mulang,2014-12,2019-08,2022-06-02,Q19631192-EA1ABD0A-3818-4D08-B203-2403CABD7178
Q90354281,José Sele Yalaghuli,2019-08,2021-04,2022-06-02,Q90354281-9A8144F0-AF22-4ACE-9D99-251572BEE034
Q62066858,Nicolas Kazadi,2021-04,,2022-06-02,Q62066858-9BE14EE8-1A24-49AF-9272-C6050234D31A
