item,itemLabel,position,positionLabel,start,psid
Q104600997,Guy Loando Mboyo,Q112221027,Minister of Physical Planning,2021-04-26,Q104600997-F2897042-B4F9-47B7-BE32-23848E96B2BE
Q105523479,Jean-Michel Sama Lukonde,Q3401753,Prime Minister of the Democratic Republic of the Congo,2021-02-15,Q105523479-42a6b140-4aea-ba42-8fb3-b538bc3073f4
Q105798778,José Mpanda Kabangu,Q112221044,Minister of Scientific Research,2019-08-26,Q105798778-281A924E-C9B4-42A7-BAA5-A7FDAF871794
Q106505759,Aminata Namasia,Q112223970,Deputy Minister of Primary and Secondary Education,2021-04-26,Q106505759-DC6DB25D-4A9C-4438-8FC9-CF36133CB2B7
Q106588674,Tony Mwaba Kazadi,Q112221034,Minister of Primary and Secondary Education,2021-04-26,Q106588674-B24D7B84-2B29-4A7C-B6C2-DD7D5C672E18
Q106598129,Antoinette Kipulu Kabenga,Q112221053,Minister of Vocational Training,2021-04-26,Q106598129-FF04E597-2014-41B3-9BCD-DF95003B6CE3
Q106598422,Antoinette Nsamba Kalambayi,Q112221020,Minister of Mines,2021-04-26,Q106598422-AE2F9663-E3BD-485B-80A5-C6950EEED9E9
Q106598531,Ndusi Ntembe,Q112221017,Minister of Labour,2021-04-26,Q106598531-C910DFF6-B21D-4A50-B742-EA08A5071548
Q106656042,Désiré Cashmir Eberande Kolongele,Q112223905,Minister of Digital Technology,2021-04-26,Q106656042-EA50606D-2234-4A4B-B16E-BA19E5E19BCD
Q106676222,Jean-Marie Kalumba Yuma,Q112220992,Minister of Economy,2021-04-26,Q106676222-3C67B166-8A45-4544-807A-1E46CC80F6C8
Q106688205,Onyege Nsele,Q112223978,Deputy Minister of Finance,2021-04-26,Q106688205-1A1FD1F3-6405-495A-B260-F468417727A5
Q106688626,Séraphine Tulugu Kutuna,Q112223954,Deputy Minister of Defence,2021-04-26,Q106688626-CF51C55A-428A-4A9F-B717-8506EF8275A8
Q106688671,Elysée Bokumuamua Maposo,Q112223987,Deputy Minister of Budget,2021-04-26,Q106688671-4EDF04F5-13D7-4C91-846D-7353AEC7AED5
Q106777922,Adrien Bokele Djema,Q112221000,Minister of Fishing,2021-04-26,Q106777922-471E70FE-2666-4334-99FE-446424C9F4DB
Q106884074,Jean-Pierre Lihau,Q112220980,Minister of Civil Service,2021-04-26,Q106884074-9F1BA452-B152-4796-A331-136B5D6C7B40
Q106904823,Amato Bahibazire Mirindi,Q112223956,Deputy Minister of Justice,2021-04-26,Q106904823-8CA16391-05B2-4555-A3DE-25C0259197EC
Q106904846,Jean-Claude Molipe Mandongo,Q112223972,Deputy Minister of Interior,2021-04-26,Q106904846-647937A9-EEBC-48A5-BBE4-6BCA8040114D
Q106904853,Véronique Kilumba Nkulu,Q112223961,Deputy Minister of Health,2021-04-26,Q106904853-D8F20F07-D6CC-4913-A57E-29C5E5471CC4
Q106904938,Marc Ekila Likombio,Q112223985,Deputy Minister of Transport,2021-04-26,Q106904938-3AE9889C-CE3D-4D07-B5AD-F9D585630CC1
Q106905065,Désire Nzinga Bilihanzi,Q54429353,Minister of Agriculture of Democratic Republic of the Congo,2021-04-26,Q106905065-AF80A67D-011D-4A56-81AD-FE47809F516E
Q106905141,Albert Fabrice Puela,Q112221005,Minister of Human Rights,2021-04-26,Q106905141-CC3CA7F2-F522-4750-BBAB-31A956924C37
Q106905153,Didier Budimbu Ntubuanga,Q112221007,Minister of Hydrocarbons,2021-04-26,Q106905153-EFBA2F06-A1E4-4883-B2C7-6EF8906F9FAC
Q106905169,Modero Nsimba Matondo,Q54437053,Minister of Tourism of the Democratic Republic of the Congo,2021-04-26,Q106905169-2028BE79-6218-4F2C-926C-3F2B41D89C6E
Q106905178,Cherubin Okende Senga,Q112221051,Minister of Transport,2021-04-26,Q106905178-26B07C7F-BCC9-4DB2-A8A3-FE60B6E88D32
Q106905203,Gisèle Ndaya Luseba,Q112220999,Minister of Family,2021-04-26,Q106905203-D7143D48-C7A3-48FA-9CFB-8E70EF84F073
Q106912571,Rose Mutombo Kiese,Q112221015,Minister of Justice,2021-04-26,Q106912571-57C66E40-2040-49FB-98B4-717161EA2AFD
Q106912607,Alexis Gizaro Muvuni,Q112221011,Minister of Infrastructure,2021-04-26,Q106912607-46EEEDFA-229E-4B2D-94CC-B20723F372DE
Q106912703,François Rubota Masumbuko,Q112221043,Minister of Rural Development,2021-04-26,Q106912703-507A5F63-35FA-4B5D-93E2-726C420A4BB0
Q106912758,Gilbert Kabanda Rukemba,Q17110451,Minister of Defence,2021-04-26,Q106912758-8672539F-1961-4C24-824A-E4EE946454DC
Q106912955,Jean-Jacques Bungani Mbanda,Q112221001,Minister of Health,2021-04-26,Q106912955-9F483193-A576-44EF-A64D-37266CF5C2B7
Q106913386,Muhindo Nzangi,Q112221003,Minister of Higher Education,2021-04-26,Q106913386-3F5C7274-E874-4DE3-BCAA-96408AEF2981
Q106913451,Anne-Marie Karume Bakaneme,Q112221041,Minister of Relations with the Parliament,2021-04-26,Q106913451-3A92AB98-89A5-43E0-8CBA-9D84D4E466CB
